Recipe,Website, Notes
Gnocchi dish (bacon | brocollu | brussel sprouts), https://www.tablefortwoblog.com/25-minute-bacon-gnocchi-with-broccoli-and-shaved-brussels/, AM likes
Honey Garlic Shrimp, https://sallysbakingaddiction.com/quick-healthy-dinner-20-minute-honey-garlic-shrimp/, AM likes
Balsamic pork tenderloin, https://www.lecremedelacrumb.com/slow-cooker-honey-balsamic-pork-tenderloin/, we eat this a lot
Healthy Pumpkin Bread, https://cookieandkate.com/healthy-pumpkin-bread-recipe/, for kids
Egg casserole, https://www.jimmydean.com/recipes/breakfast/easy-egg-casserole/, one with bread crumbs in it
Beef Stew, https://cooking.nytimes.com/recipes/4735-old-fashioned-beef-stew, look at comments - add tomato paste and others,
Sweet potato and beef skillet, http://www.primaverakitchen.com/ground-turkey-sweet-potato-skillet/, am likes and simple
